name_en,name_kr,wisdom_en,wisdom_kr
Warren Buffett,워렌 버핏,"Price is what you pay. Value is what you get.","가격은 지불하는 것이고 가치는 얻는 것이다."
Warren Buffett,워렌 버핏,"Rule No.1: Never lose money. Rule No.2: Never forget rule No.1.","제1 규칙: 돈을 잃지 마라. 제2 규칙: 제1 규칙을 잊지 마라."
Warren Buffett,워렌 버핏,"Risk comes from not knowing what you're doing.","위험은 자신이 뭘 하는지 모르기 때문에 온다."
Warren Buffett,워렌 버핏,"Be fearful when others are greedy and greedy when others are fearful.","다른 사람들이 욕심내는 때에는 두려움을 갖고, 다른 사람들이 두려워하는 때에는 욕심을 내라."
Warren Buffett,워렌 버핏,"It's far better to buy a wonderful company at a fair price than a fair company at a wonderful price.","멋진 회사를 공정한 가격에 사는 것이 멋진 가격에 평범한 회사를 사는 것보다 훨씬 나은 일이다."
Warren Buffett,워렌 버핏,"Our favorite holding period is forever.","우리가 가장 좋아하는 보유 기간은 영원하다."
Warren Buffett,워렌 버핏,"The stock market is a device for transferring money from the impatient to the patient.","주식 시장은 조급한 사람으로부터 참을성 있는 사람으로 돈을 옮기는 장치이다."
Warren Buffett,워렌 버핏,"You only have to do a very few things right in your life so long as you don't do too many things wrong.","삶에서 매우 적은 것들을 올바르게 하면 되고, 많은 것들을 잘못하지 않는 한 괜찮다."
Warren Buffett,워렌 버핏,"If you're not willing to own a stock for 10 years, don't even think about owning it for 10 minutes.","만약 10년 동안 주식을 소유하고 싶지 않다면, 10분 동안도 소유하지 마라."
Warren Buffett,워렌 버핏,"I don't look to jump over 7-foot bars. I look around for 1-foot bars that I can step over.","7피트의 막대기를 뛰어넘으려고 하지 않는다. 내가 걸을 수 있는 1피트 막대를 찾아서 건너려고 한다."
Andre Kostolany,안드레 코스톨라니,"In investing, what is comfortable is rarely profitable.","투자에서 편안한 것이 수익성이 높은 경우는 드물다."
Andre Kostolany,안드레 코스톨라니,"The stock market is a device for transferring money from the impatient to the patient.","주식 시장은 조급한 사람으로부터 참을성 있는 사람으로 돈을 옮기는 장치이다."
Andre Kostolany,안드레 코스톨라니,"The four most dangerous words in investing are: 'this time it's different'.","투자에서 가장 위험한 4개의 단어는 '이번에는 다르다'이다."
Andre Kostolany,안드레 코스톨라니,"Risk is not knowing what you are doing.","위험은 자신이 뭘 하는지 모르기 때문에 온다."
Andre Kostolany,안드레 코스톨라니,"The stock market is filled with individuals who know the price of everything, but the value of nothing.","주식 시장은 모든 것의 가격을 알지만, 아무 것도 가치를 모르는 개인으로 가득 차 있다."
Andre Kostolany,안드레 코스톨라니,"An investment in knowledge pays the best interest.","지식에 대한 투자는 가장 좋은 이자를 제공한다."
Andre Kostolany,안드레 코스톨라니,"Don't let the fear of losing be greater than the excitement of winning.","이길 기쁨보다 지는 것에 대한 두려움이 더 크게 생각하지 마라."
Andre Kostolany,안드레 코스톨라니,"You get recessions, you have stock market declines. If you don't understand that's going to happen, then you're not ready, you won't do well in the markets.","경기후퇴와 주식시장 하락이 발생한다. 이게 일어날 것이라는 것을 이해하지 못하면, 당신은 준비되어 있지 않고 시장에서 잘 할 수 없을 것이다."
Andre Kostolany,안드레 코스톨라니,"The most important quality for an investor is temperament, not intellect.","투자자에게 가장 중요한 요소는 지성이 아니라 성격이다."
Andre Kostolany,안드레 코스톨라니,"The market is a pendulum that forever swings between unsustainable optimism and unjustified pessimism.","시장은 지속 불가능한 낙관주의와 정당화되지 않은 비관주의 사이에서 영원히 오르내리는 진자이다."
Peter Lynch,피터 린치,"The stock market is a device for transferring money from the impatient to the patient.","주식 시장은 조급한 사람으로부터 참을성 있는 사람으로 돈을 옮기는 장치이다."
Peter Lynch,피터 린치,"Know what you own, and know why you own it.","당신이 소유한 것을 알고, 그것을 소유하는 이유를 알아라."
Peter Lynch,피터 린치,"Investing without research is like playing stud poker and never looking at the cards.","연구 없이 투자하는 것은 스터드 포커를 하는 것과 같고, 카드를 본 적이 없다."
Peter Lynch,피터 린치,"The key to making money in stocks is not to get scared out of them.","주식에서 돈을 벌기 위한 핵심은 그들로부터 겁을 먹지 않는 것이다."
Peter Lynch,피터 린치,"The best investment you can make is in your own abilities.","당신이 할 수 있는 최고의 투자는 당신 자신의 능력에 대한 것이다."
Peter Lynch,피터 린치,"Good stocks don't always go up and bad stocks don't always go down, but in the long run, it pays to own good companies.","좋은 주식이 항상 오르지는 않고, 나쁜 주식이 항상 내려가지는 않지만, 장기적으로는 좋은 회사를 소유하는 것이 이득이다."
Peter Lynch,피터 린치,"The stock market is filled with individuals who know the price of everything, but the value of nothing.","주식 시장은 모든 것의 가격을 아는 사람으로 가득 차 있지만, 아무것도 가치를 모르는 사람으로 가득 차 있습니다."
Peter Lynch,피터 린치,"The four most dangerous words in investing are: 'this time it's different'.","투자에서 가장 위험한 4개의 단어는 '이번에는 다르다'이다."
Peter Lynch,피터 린치,"Never invest in any idea you can't illustrate with a crayon.","크레용으로도 설명할 수 없는 아이디어에는 투자하지 마라."
Peter Lynch,피터 린치,"The stock market is a device for transferring money from the active to the patient.","주식 시장은 활발한 사람으로부터 참을성 있는 사람으로 돈을 옮기는 장치이다."
Ken Fisher,켄 피셔,"The stock market is a device for transferring money from the impatient to the patient.","주식 시장은 조급한 사람으로부터 참을성 있는 사람으로 돈을 옮기는 장치이다."
Ken Fisher,켄 피셔,"Know what you own, and know why you own it.","당신이 소유한 것을 알고, 그것을 소유하는 이유를 알아라."
Ken Fisher,켄 피셔,"Investing without research is like playing stud poker and never looking at the cards.","연구 없이 투자하는 것은 스터드 포커를 하는 것과 같고, 카드를 본 적이 없다."
Ken Fisher,켄 피셔,"The key to making money in stocks is not to get scared out of them.","주식에서 돈을 벌기 위한 핵심은 그들로부터 겁을 먹지 않는 것이다."
Ken Fisher,켄 피셔,"The best investment you can make is in your own abilities.","당신이 할 수 있는 최고의 투자는 당신 자신의 능력에 대한 것이다."
Ken Fisher,켄 피셔,"Good stocks don't always go up and bad stocks don't always go down, but in the long run, it pays to own good companies.","좋은 주식이 항상 오르지는 않고, 나쁜 주식이 항상 내려가지는 않지만, 장기적으로는 좋은 회사를 소유하는 것이 이득이다."
Ken Fisher,켄 피셔,"The stock market is filled with individuals who know the price of everything, but the value of nothing.","주식 시장은 모든 것의 가격을 아는 사람으로 가득 차 있지만, 아무것도 가치를 모르는 사람으로 가득 차 있습니다."
Ken Fisher,켄 피셔,"The four most dangerous words in investing are: 'this time it's different'.","투자에서 가장 위험한 4개의 단어는 '이번에는 다르다'이다."
Ken Fisher,켄 피셔,"Never invest in any idea you can't illustrate with a crayon.","크레용으로도 설명할 수 없는 아이디어에는 투자하지 마라."
Ken Fisher,켄 피셔,"The stock market is a device for transferring money from the active to the patient.","주식 시장은 활발한 사람으로부터 참을성 있는 사람으로 돈을 옮기는 장치이다."
Benjamin Graham,벤자민 그레이엄,"An investment operation is one which, upon thorough analysis, promises safety of principal and a satisfactory return.","투자 작업은 철저한 분석을 거친 결과, 원금의 안전성과 만족스러운 수익을 약속하는 것이다."
Benjamin Graham,벤자민 그레이엄,"In the short run, the market is a voting machine but in the long run, it is a weighing machine.","단기적으로 시장은 투표 기계이지만, 장기적으로는 계량 기계이다."
Benjamin Graham,벤자민 그레이엄,"The intelligent investor is a realist who sells to optimists and buys from pessimists.","지적인 투자자는 낙관주의자에게 판매하고, 비관주의자로부터 구입한다."
Benjamin Graham,벤자민 그레이엄,"The stock market is filled with individuals who know the price of everything, but the value of nothing.","주식 시장은 모든 것의 가격을 아는 사람으로 가득 차 있지만, 아무것도 가치를 모르는 사람으로 가득 차 있다."
Benjamin Graham,벤자민 그레이엄,"Price is what you pay; value is what you get.","가격은 당신이 지불하는 것이고, 가치는 당신이 얻는 것이다."
Benjamin Graham,벤자민 그레이엄,"The investor's chief problem - and even his worst enemy - is likely to be himself.","투자자의 가장 큰 문제 - 그리고 심지어 가장 큰 적 - 은 그 자신일 것이다."
Benjamin Graham,벤자민 그레이엄,"The investor who permits himself to be stampeded or unduly worried by unjustified market declines in his holdings is perversely transforming his basic advantage into a basic disadvantage.","보유 자산의 불합리한 시장 하락으로 인해 돌진당하거나 과도하게 걱정하는 투자자는 교묘하게 자신의 기본적인 이점을 기본적인 불이익으로 변형시키고 있다."
Benjamin Graham,벤자민 그레이엄,"You are neither right nor wrong because the crowd disagrees with you. You are right because your data and reasoning are right.","당신이 옳은 것은 대중이 당신과 다르게 생각하는 것이 아니라, 당신의 데이터와 추론이 옳기 때문이다."
Benjamin Graham,벤자민 그레이엄,"To achieve satisfactory investment results is easier than most people realize; to achieve superior results is harder than it looks.","만족스러운 투자 결과를 얻는 것은 대부분의 사람들이 인식하는 것보다 쉽지만, 우수한 결과를 얻는 것은 보다 어렵다."
Benjamin Graham,벤자민 그레이엄,"The investor with a portfolio of sound stocks should expect their prices to fluctuate and should neither be concerned by sizable declines nor become excited by sizable advances.","건강한 종목으로 구성된 포트폴리오를 가진 투자자는 종목 가격의 변동을 예상하고, 상당한 하락에 대해서도 걱정하지 않고, 큰 상승에 대해서도 너무 흥분하지 않아야 합니다."
John Templeton,존 템플턴,"The stock market is never obvious. It is designed to fool most of the people, most of the time.","주식 시장은 결코 명백하지 않다. 대부분의 사람들을 대부분의 시간 속이도록 설계되었다."
